cond,target,anchor,pseudo,r,resid,lam,rmse,bias,n,n_fold,n_seed
covonly,Lena,cci_cal,none,0.0,mlp,0.75,15.736666666666666,5.9639999999999995,1496,1,3
covonly,Lena,cci_cal,none,0.0,mlp,1.0,16.066666666666666,6.079666666666665,1496,1,3
covonly,Lena,cci_cal,none,0.0,ridge,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,none,0.0,ridge,0.25,15.686,3.438,1496,1,3
covonly,Lena,cci_cal,none,0.0,ridge,0.5,16.415,1.26,1496,1,3
covonly,Lena,cci_cal,none,0.0,ridge,0.75,17.671,-0.919,1496,1,3
covonly,Lena,cci_cal,none,0.0,ridge,1.0,19.352,-3.097,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,catboost_lo,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,catboost_lo,0.25,15.866666666666667,6.491666666666667,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,catboost_lo,0.5,16.220333333333333,7.367,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,catboost_lo,0.75,16.615333333333336,8.241666666666667,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,catboost_lo,1.0,17.051,9.117333333333333,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,mlp,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,mlp,0.25,15.891666666666666,6.574333333333333,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,mlp,0.5,16.281666666666666,7.532666666666667,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,mlp,0.75,16.724666666666668,8.491,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,mlp,1.0,17.215999999999998,9.449,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,ridge,0.0,15.559,5.617,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,ridge,0.25,16.012,6.778666666666666,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,ridge,0.5,16.540666666666667,7.940666666666666,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,ridge,0.75,17.138,9.103,1496,1,3
covonly,Lena,cci_cal,shuffle,10.0,ridge,1.0,17.798000000000002,10.265,1496,1,3
covonly,Lena,cci_cal,stefan,10.0,catboost_lo,0.0,15.559,5.617,1496,1,3
