source,site,lat,lon,depth_m,temp_c,year,elev_m,gtnp_id
PERMOS,ATT_0108,46.0968,7.2731,10.0,-0.81129,2022.0,2661.0,CH 01
PERMOS,MAT_0205,45.9823,7.6761,15.0,-3.03929,2011.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,15.0,-2.82454,2013.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,2.0,-3.47396,2013.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,10.0,-2.81428,2008.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,6.0,-3.12738,2013.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,6.0,-3.08583,2006.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,15.0,-2.99817,2010.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,10.0,-2.96197,2013.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,2.0,-3.24584,2006.0,3343.956,CH 09
PERMOS,ATT_0108,46.0968,7.2731,3.0,-1.36719,2010.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,4.0,-0.57406,2023.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,6.0,-0.46871,2016.0,2661.0,CH 01
PERMOS,MAT_0205,45.9823,7.6761,4.0,-3.08592,2006.0,3343.956,CH 09
PERMOS,MAT_0205,45.9823,7.6761,2.0,-3.61539,2009.0,3343.956,CH 09
