site_name,year,lat,lon,alt_cm,n_pts
Gradient,2014,61.35481120820999,-163.09648841128873,67.79467644128675,5067
Gradient_HR,2014,61.353671002222214,-163.0971033049383,69.29629629629629,81
HV,2017,69.15414558766726,-148.8430011095611,25.5922131147541,244
HV,2018,69.15414558766726,-148.84300110956107,40.62903225806452,62
HV,2019,69.15414558766726,-148.8430011095611,45.614754098360656,122
HV_B1,2018,69.1591,-148.8291,41.023809523809526,21
HV_B2,2018,69.1467,-148.8383,37.07142857142857,21
Happy Valley,2014,69.149370425,-148.84372875,40.075,4
Happy_Valley,2014,69.14899888020108,-148.84273865440835,24.688913379737045,2586
Hess Creek Burned,2013,65.5687975,-148.92367566666667,55.18817204301075,186
Hess Creek Unburned,2013,65.56736563597121,-148.92543272410072,36.53237410071942,278
Holding Pond,2014,68.98135,-148.83099,88.0,1
IC,2017,69.04047977448829,-148.8298084182206,47.45217391304348,115
IC,2018,69.0404850471795,-148.82981343113048,52.193548387096776,62
IC,2019,69.04048701872688,-148.82981844067947,55.598710743801654,121
I_Minus High,2013,68.55734856567163,-149.5327518589552,40.15298507462686,268
I_Minus Low,2013,68.55941443253012,-149.51596157911646,31.867469879518072,249
J1,2019,61.30991,-121.29751,55.8333333333333,1
J2,2019,61.31016,-121.29745,104.0,1
J3,2019,61.31034,-121.29743,89.0,1
J4,2019,61.31046,-121.29745,62.3333333333333,1
J5,2019,61.31069,-121.29745,67.6666666666667,1
J6,2019,61.31087,-121.29745,54.0,1
J7,2019,61.31106,-121.29745,51.0,1
K2,2019,61.31009,-121.29716,86.5,1
K4,2019,61.31051,-121.29711,129.0,1
K5,2019,61.31068,-121.29713,55.3333333333333,1
K6,2019,61.31085,-121.29707,72.3333333333333,1
KG_MM64,2013,65.16379596107056,-164.82148598540147,38.031630170316305,411
KT-1,2017,67.90975769230769,-139.69646538461538,34.37692307692308,156
KT-1,2018,67.90975769230769,-139.69646538461538,34.49038461538461,156
KT-1,2021,67.90975769230769,-139.69646538461538,40.46153846153846,78
KT-1,2022,67.90975769230769,-139.69646538461538,36.65384615384615,78
KT-2,2017,67.9003103846154,-139.73397615384616,36.78076923076923,156
KT-2,2018,67.9003103846154,-139.73397615384616,30.759615384615383,156
KT-2,2022,67.9003103846154,-139.73397615384616,39.92307692307692,78
KT-3,2017,67.90061961538461,-139.736195,31.346153846153847,156
KT-3,2018,67.90061961538461,-139.736195,24.14423076923077,156
KT-3,2022,67.90061961538461,-139.736195,29.53846153846154,78
KT-4,2017,67.84108884615385,-139.75622307692308,32.99884615384615,156
KT-4,2018,67.84108884615385,-139.75622307692308,28.28846153846154,156
KT-4,2022,67.84108884615385,-139.75622307692308,44.76923076923077,78
KT-5,2017,67.84145730769231,-139.75842615384616,34.42307692307692,156
KT-5,2018,67.84145730769231,-139.75842615384616,28.442307692307693,156
KT-5,2022,67.84145730769231,-139.75842615384616,51.23076923076923,78
KT-6,2017,67.84170423076924,-139.76171423076923,57.05769230769231,78
KT-6,2018,67.84170423076924,-139.76171423076923,42.67307692307692,156
