proto,family,anchor,pseudo,resid,r,lam,rmse_mean,n_reg,name
half,anchored,stefan,stefan,mlp,2.0,0.75,89.50583333333333,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · Stefan 증강(r=2)
half,anchored,stefan,stefan,mlp,2.0,1.0,117.50800000000001,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · Stefan 증강(r=2)
half,anchored,stefan,stefan,mlp,5.0,0.0,23.723,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · Stefan 증강(r=5)
half,anchored,stefan,stefan,mlp,5.0,0.25,23.79725,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · Stefan 증강(r=5)
half,anchored,stefan,stefan,mlp,5.0,0.5,23.87408333333333,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · Stefan 증강(r=5)
half,anchored,stefan,stefan,mlp,5.0,0.75,23.952916666666667,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · Stefan 증강(r=5)
half,anchored,stefan,stefan,mlp,5.0,1.0,24.035,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · Stefan 증강(r=5)
half,anchored,stefan,stefan,mlp,10.0,0.0,23.723,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · Stefan 증강(r=10)
half,anchored,stefan,stefan,mlp,10.0,0.25,40.30191666666666,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · Stefan 증강(r=10)
half,anchored,stefan,stefan,mlp,10.0,0.5,65.47016666666667,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · Stefan 증강(r=10)
half,anchored,stefan,stefan,mlp,10.0,0.75,91.0445,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · Stefan 증강(r=10)
half,anchored,stefan,stefan,mlp,10.0,1.0,116.71691666666666,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · Stefan 증강(r=10)
half,anchored,stefan,stefan,ridge,0.5,0.0,23.723,2,Stefan 앵커 + 선형 잔차(λ=0) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,ridge,0.5,0.25,24.151666666666667,2,Stefan 앵커 + 선형 잔차(λ=0.25) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,ridge,0.5,0.5,24.666666666666664,2,Stefan 앵커 + 선형 잔차(λ=0.5) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,ridge,0.5,0.75,25.25483333333333,2,Stefan 앵커 + 선형 잔차(λ=0.75) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,ridge,0.5,1.0,25.905166666666666,2,Stefan 앵커 + 선형 잔차(λ=1) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,ridge,1.0,0.0,23.723,2,Stefan 앵커 + 선형 잔차(λ=0) · Stefan 증강(r=1)
half,anchored,stefan,stefan,ridge,1.0,0.25,24.049500000000002,2,Stefan 앵커 + 선형 잔차(λ=0.25) · Stefan 증강(r=1)
half,anchored,stefan,stefan,ridge,1.0,0.5,24.430333333333333,2,Stefan 앵커 + 선형 잔차(λ=0.5) · Stefan 증강(r=1)
half,anchored,stefan,stefan,ridge,1.0,0.75,24.858666666666668,2,Stefan 앵커 + 선형 잔차(λ=0.75) · Stefan 증강(r=1)
half,anchored,stefan,stefan,ridge,1.0,1.0,25.32933333333333,2,Stefan 앵커 + 선형 잔차(λ=1) · Stefan 증강(r=1)
half,anchored,stefan,stefan,ridge,2.0,0.0,23.723,2,Stefan 앵커 + 선형 잔차(λ=0) · Stefan 증강(r=2)
half,anchored,stefan,stefan,ridge,2.0,0.25,23.862166666666667,2,Stefan 앵커 + 선형 잔차(λ=0.25) · Stefan 증강(r=2)
half,anchored,stefan,stefan,ridge,2.0,0.5,24.018166666666666,2,Stefan 앵커 + 선형 잔차(λ=0.5) · Stefan 증강(r=2)
half,anchored,stefan,stefan,ridge,2.0,0.75,24.19083333333333,2,Stefan 앵커 + 선형 잔차(λ=0.75) · Stefan 증강(r=2)
half,anchored,stefan,stefan,ridge,2.0,1.0,24.379333333333335,2,Stefan 앵커 + 선형 잔차(λ=1) · Stefan 증강(r=2)
half,anchored,stefan,stefan,ridge,5.0,0.0,23.723,2,Stefan 앵커 + 선형 잔차(λ=0) · Stefan 증강(r=5)
half,anchored,stefan,stefan,ridge,5.0,0.25,23.804833333333335,2,Stefan 앵커 + 선형 잔차(λ=0.25) · Stefan 증강(r=5)
half,anchored,stefan,stefan,ridge,5.0,0.5,23.895333333333333,2,Stefan 앵커 + 선형 잔차(λ=0.5) · Stefan 증강(r=5)
half,anchored,stefan,stefan,ridge,5.0,0.75,23.994500000000002,2,Stefan 앵커 + 선형 잔차(λ=0.75) · Stefan 증강(r=5)
