axis,region,formula,family,k,desc,n,rmse_cm,mae_cm,bias_cm,r2,skill,rmse_stefan_paired,delta_vs_stefan,ci_lo,ci_hi
LORO,Greenland,F5k2,F5 edaphic,2,a+c·edaphic,3,30.078,29.171,-29.171,-57.9461,-6.6776,43.791,-13.712999999999997,,
LORO,Greenland,F6k0,F6 Kudryavtsev,0,raw,3,27.384,25.13,-18.069,-47.8604,-5.99,43.791,-16.406999999999996,,
LORO,Greenland,F6k1,F6 Kudryavtsev,1,c·Ku,3,37.387,34.332,-34.332,-90.0753,-8.5433,43.791,-6.403999999999996,,
LORO,Greenland,F6k2,F6 Kudryavtsev,2,a+c·Ku,3,26.993,25.735,-25.735,-46.4749,-5.8902,43.791,-16.798,,
LORO,Greenland,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,3,59.986,56.256,-56.256,-233.4601,-14.3121,43.791,16.195,,
LORO,Greenland,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,3,65.638,61.358,-61.358,-279.7178,-15.7546,43.791,21.84700000000001,,
LORO,Greenland,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),3,43.37,42.59,-42.59,-121.5559,-10.0705,43.791,-0.4209999999999994,,
LORO,Greenland,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,3,42.054,41.254,-41.254,-114.2326,-9.7346,43.791,-1.7369999999999948,,
LORO,Greenland,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),3,46.954,46.144,-46.144,-142.6522,-10.9855,43.791,3.163000000000004,,
LORO_gate,UNWEIGHTED_MEAN,F1k1,F1 Stefan,1,E·√TDD,7,33.67971428571428,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F1k2,F1 Stefan,2,a+E·√TDD,7,33.88514285714286,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F2k2,F2 멱법칙,2,a·TDD^b,7,34.001571428571424,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F3k2,F3 TDD 선형,2,a+b·TDD,7,32.93485714285715,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F4k2,F4 MAAT 선형,2,a+b·MAAT,7,35.055285714285716,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F5k0,F5 edaphic,0,pedotransfer raw,7,54.87714285714286,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F5k1,F5 edaphic,1,c·edaphic,7,32.40857142857143,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F5k2,F5 edaphic,2,a+c·edaphic,7,32.08471428571429,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F6k0,F6 Kudryavtsev,0,raw,7,39.20842857142857,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F6k1,F6 Kudryavtsev,1,c·Ku,7,30.797428571428576,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F6k2,F6 Kudryavtsev,2,a+c·Ku,7,30.660571428571426,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,7,36.486,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,7,37.260571428571424,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),7,35.968,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,7,33.954,,,,,,,,
LORO_gate,UNWEIGHTED_MEAN,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),7,34.31142857142857,,,,,,,,
