method,feature,group,fold,delta_rmse_cm,rmse_base_fold,n_eval
stefan_cb1,sg_sand_5_15,토양,4,-0.08869928989671667,12.46598920580537,1778
stefan_cb1,sg_sand_5_15,토양,5,0.07043084007142966,22.352233556706423,1778
stefan_cb1,sg_silt_5_15,토양,0,0.004094118548513492,11.28989012632896,4716
stefan_cb1,sg_silt_5_15,토양,1,0.018366848691843705,12.551555248439486,1778
stefan_cb1,sg_silt_5_15,토양,2,0.24166900466510946,16.92621445250584,1778
stefan_cb1,sg_silt_5_15,토양,3,-0.18278866762217216,11.237342541635392,1778
stefan_cb1,sg_silt_5_15,토양,4,0.27886875471649936,12.46598920580537,1778
stefan_cb1,sg_silt_5_15,토양,5,0.2127728822882368,22.352233556706423,1778
stefan_cb1,sg_bdod_5_15,토양,0,0.02330113955414568,11.28989012632896,4716
stefan_cb1,sg_bdod_5_15,토양,1,-0.011360344082537744,12.551555248439486,1778
stefan_cb1,sg_bdod_5_15,토양,2,0.002354336297314319,16.92621445250584,1778
stefan_cb1,sg_bdod_5_15,토양,3,0.06464985782186136,11.237342541635392,1778
stefan_cb1,sg_bdod_5_15,토양,4,-0.06008923413399998,12.46598920580537,1778
stefan_cb1,sg_bdod_5_15,토양,5,0.0559273134452404,22.352233556706423,1778
stefan_cb1,sg_cfvo_5_15,토양,0,0.003999515979556456,11.28989012632896,4716
stefan_cb1,sg_cfvo_5_15,토양,1,0.0007778059682715721,12.551555248439486,1778
stefan_cb1,sg_cfvo_5_15,토양,2,-0.024121711142194257,16.92621445250584,1778
stefan_cb1,sg_cfvo_5_15,토양,3,0.012774315403275161,11.237342541635392,1778
stefan_cb1,sg_cfvo_5_15,토양,4,0.004757373252597041,12.46598920580537,1778
stefan_cb1,sg_cfvo_5_15,토양,5,-0.10481754568182851,22.352233556706423,1778
stefan_cb1,sg_phh2o_5_15,토양,0,-0.008912191416800575,11.28989012632896,4716
stefan_cb1,sg_phh2o_5_15,토양,1,-0.00814532482663619,12.551555248439486,1778
stefan_cb1,sg_phh2o_5_15,토양,2,0.15922390168265216,16.92621445250584,1778
stefan_cb1,sg_phh2o_5_15,토양,3,0.19209780718487898,11.237342541635392,1778
stefan_cb1,sg_phh2o_5_15,토양,4,-0.1426846837936532,12.46598920580537,1778
stefan_cb1,sg_phh2o_5_15,토양,5,-0.1347131109662545,22.352233556706423,1778
stefan_cb1,sg_soc_0_5,토양,0,0.0,11.28989012632896,4716
stefan_cb1,sg_soc_0_5,토양,1,0.026034246912737126,12.551555248439486,1778
stefan_cb1,sg_soc_0_5,토양,2,0.13557315311566748,16.92621445250584,1778
stefan_cb1,sg_soc_0_5,토양,3,0.015403316581998183,11.237342541635392,1778
stefan_cb1,sg_soc_0_5,토양,4,0.02501290186738121,12.46598920580537,1778
stefan_cb1,sg_soc_0_5,토양,5,-0.0172656126314898,22.352233556706423,1778
stefan_cb1,sg_soc_5_15,토양,0,-0.0008007018959462542,11.28989012632896,4716
stefan_cb1,sg_soc_5_15,토양,1,0.010406727555532846,12.551555248439486,1778
stefan_cb1,sg_soc_5_15,토양,2,0.0025678784707690028,16.92621445250584,1778
stefan_cb1,sg_soc_5_15,토양,3,0.05009652934292674,11.237342541635392,1778
stefan_cb1,sg_soc_5_15,토양,4,0.04092680604892163,12.46598920580537,1778
stefan_cb1,sg_soc_5_15,토양,5,0.0251140589677167,22.352233556706423,1778
stefan_cb1,sg_soc_15_30,토양,0,0.003015030547948605,11.28989012632896,4716
stefan_cb1,sg_soc_15_30,토양,1,0.005124628189348534,12.551555248439486,1778
stefan_cb1,sg_soc_15_30,토양,2,0.09392759526647616,16.92621445250584,1778
stefan_cb1,sg_soc_15_30,토양,3,0.021736836847822082,11.237342541635392,1778
stefan_cb1,sg_soc_15_30,토양,4,-0.023610129376230127,12.46598920580537,1778
stefan_cb1,sg_soc_15_30,토양,5,-0.006889397647156415,22.352233556706423,1778
stefan_cb1,cci_alt,CCI,0,0.060246798936660004,11.28989012632896,4716
stefan_cb1,cci_alt,CCI,1,0.00899069914612909,12.551555248439486,1778
stefan_cb1,cci_alt,CCI,2,0.08032809309298265,16.92621445250584,1778
stefan_cb1,cci_alt,CCI,3,-0.0016468192953254857,11.237342541635392,1778
stefan_cb1,cci_alt,CCI,4,0.05689619240300363,12.46598920580537,1778
stefan_cb1,cci_alt,CCI,5,-0.02892300981700373,22.352233556706423,1778
stefan_cb1,cci_valid,CCI,0,0.0,11.28989012632896,4716
stefan_cb1,cci_valid,CCI,1,0.0,12.551555248439486,1778
stefan_cb1,cci_valid,CCI,2,0.0,16.92621445250584,1778
stefan_cb1,cci_valid,CCI,3,0.0,11.237342541635392,1778
stefan_cb1,cci_valid,CCI,4,0.0,12.46598920580537,1778
stefan_cb1,cci_valid,CCI,5,0.0,22.352233556706423,1778
