assignment,method,fold,n,n_blocks,has_bigblock,rmse,bias,E_fold
random_9,catboost_lo,2,2296,21,False,14.23250189942535,-1.435807563101474,1.6475866705212423
random_9,catboost_lo,3,2361,9,False,14.39836449410885,-4.912195748948217,1.6061780893307704
random_9,catboost_lo,4,4716,1,True,17.148123648013875,14.059472582615168,1.5733794682552538
random_9,catboost_lo,5,1999,5,False,18.866720267053985,1.0380417524554848,1.6238152512414814
random_10,stefan,0,1794,11,False,17.018733955186832,3.4178460605070953,1.630873868540464
random_10,stefan,1,1332,3,False,10.838471274300797,-2.6349944038282085,1.6097368532295113
random_10,stefan,2,4808,7,True,11.621135651251077,-5.188159391538487,1.5812301116421807
random_10,stefan,3,1217,28,False,21.883023096083395,-2.200366997574727,1.6140598198137115
random_10,stefan,4,2068,9,False,14.495374960680927,-0.8110012704333254,1.6115211970141607
random_10,stefan,5,2387,16,False,14.389203382367757,5.900870358017292,1.657305298519443
random_10,stefan_ridge075,0,1794,11,False,17.141098199760197,6.6140818949379865,1.630873868540464
random_10,stefan_ridge075,1,1332,3,False,10.600473662579411,-0.17734481944964225,1.6097368532295113
random_10,stefan_ridge075,2,4808,7,True,10.043281127410223,1.1606897853261695,1.5812301116421807
random_10,stefan_ridge075,3,1217,28,False,20.898185993784086,-4.085256391631848,1.6140598198137115
random_10,stefan_ridge075,4,2068,9,False,15.32416808432548,-2.459112493980938,1.6115211970141607
random_10,stefan_ridge075,5,2387,16,False,11.810360034352744,1.4514700924094261,1.657305298519443
random_10,ridge,0,1794,11,False,17.334908888306867,7.43547411533576,1.630873868540464
random_10,ridge,1,1332,3,False,10.94683544242831,0.7041262181497335,1.6097368532295113
random_10,ridge,2,4808,7,True,10.748818835181726,4.190550925710736,1.5812301116421807
random_10,ridge,3,1217,28,False,21.174701366717038,-4.959672249557388,1.6140598198137115
random_10,ridge,4,2068,9,False,15.678733008311543,-2.828651083437686,1.6115211970141607
random_10,ridge,5,2387,16,False,11.566312056986206,0.043593847125503946,1.657305298519443
random_10,catboost_lo,0,1794,11,False,16.594166829591003,3.986826419292392,1.630873868540464
random_10,catboost_lo,1,1332,3,False,10.445190202774565,-0.512751204502945,1.6097368532295113
random_10,catboost_lo,2,4808,7,True,18.87874616807274,15.540090475519794,1.5812301116421807
random_10,catboost_lo,3,1217,28,False,20.569315963045533,-5.142585495394182,1.6140598198137115
random_10,catboost_lo,4,2068,9,False,15.888605529423826,-5.702501001320897,1.6115211970141607
random_10,catboost_lo,5,2387,16,False,12.327447428547398,0.05632534511473582,1.657305298519443
