H,label,cond,target,split,delta_rmse,delta_per_seed,delta_ensemble,delta_blockeq,delta_cap100,n_cells,n_blocks,block_majority,n_splits,delta_split_mean,delta_split_sd,family,family_tag
X-pseudo,"deploy: 유사라벨 stefan_soil − stefan (직접 catboost_lo, r=10)",deploy,Russia_E,0,1.5249528728176915,1.5249528728176915,1.524951708718195,0.22782969247822393,1.5249528728176915,27,19,0.42105263157894735,1,1.5249528728176915,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 stefan_soil − stefan (직접 catboost_lo, r=10)",deploy,Greenland,0,-3.9937642415364585,-3.9937642415364585,-3.9937642415364607,-3.9937642415364585,-3.9937642415364585,1,1,1.0,1,-3.9937642415364585,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_cal − stefan (직접 catboost_lo, r=10)",deploy,Lena,0,1.1943456968876838,1.1943456968876838,1.194348349397714,-0.07688964094036284,0.22649920454291106,2958,20,0.45,1,1.1943456968876838,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_cal − stefan (직접 catboost_lo, r=10)",deploy,Canada,0,6.50650432965936,6.50650432965936,6.506397818735024,10.560738578379269,8.070697884996294,747,36,0.3055555555555556,1,6.50650432965936,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_cal − stefan (직접 catboost_lo, r=10)",deploy,Russia_W,0,-12.680098569801624,-12.680098569801624,-12.680137207798008,-13.09548963562311,-12.680098569801624,28,18,0.8888888888888888,1,-12.680098569801624,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_cal − stefan (직접 catboost_lo, r=10)",deploy,Russia_C,0,-9.513538790078771,-9.513538790078771,-9.513539786345888,-5.393053480740342,-9.513538790078771,7,6,0.5,1,-9.513538790078771,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_cal − stefan (직접 catboost_lo, r=10)",deploy,Russia_E,0,-2.3053015622284767,-2.3053015622284767,-2.3053148910634995,9.889294365496246,-2.3053015622284767,27,19,0.15789473684210525,1,-2.3053015622284767,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_cal − stefan (직접 catboost_lo, r=10)",deploy,Greenland,0,-20.75899887084961,-20.75899887084961,-20.75899887084961,-20.75899887084961,-20.75899887084961,1,1,1.0,1,-20.75899887084961,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_k2 − stefan (직접 catboost_lo, r=10)",deploy,Lena,0,1.1430539006398621,1.1430539006398621,1.143071400429232,-0.2815544805561044,0.18798948677286256,2958,20,0.5,1,1.1430539006398621,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_k2 − stefan (직접 catboost_lo, r=10)",deploy,Canada,0,-1.105869686036235,-1.105869686036235,-1.1058626993149083,-1.0608063554696752,-0.8717702312767189,747,36,0.6666666666666666,1,-1.105869686036235,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_k2 − stefan (직접 catboost_lo, r=10)",deploy,Russia_W,0,-5.446193271644454,-5.446193271644454,-5.44619851316736,-4.917003114478511,-5.446193271644454,28,18,0.8888888888888888,1,-5.446193271644454,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_k2 − stefan (직접 catboost_lo, r=10)",deploy,Russia_C,0,-0.7501921785091904,-0.7501921785091904,-0.7501929318779617,0.6708217571642976,-0.7501921785091904,7,6,0.5,1,-0.7501921785091904,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_k2 − stefan (직접 catboost_lo, r=10)",deploy,Russia_E,0,-1.5573303170861692,-1.5573303170861692,-1.5573389655190688,3.523773192077355,-1.5573303170861692,27,19,0.3157894736842105,1,-1.5573303170861692,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 ku_k2 − stefan (직접 catboost_lo, r=10)",deploy,Greenland,0,-17.17904790242513,-17.17904790242513,-17.179047902425133,-17.17904790242513,-17.17904790242513,1,1,1.0,1,-17.17904790242513,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 edaphic_k2 − stefan (직접 catboost_lo, r=10)",deploy,Lena,0,3.8791562968879396,3.8791562968879396,3.8791686327488186,0.5573491965746152,0.7709570001725131,2958,20,0.45,1,3.8791562968879396,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 edaphic_k2 − stefan (직접 catboost_lo, r=10)",deploy,Canada,0,-0.28755626202701734,-0.28755626202701734,-0.28755968525370434,-0.44764363260970913,0.14013986364697098,747,36,0.4722222222222222,1,-0.28755626202701734,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 edaphic_k2 − stefan (직접 catboost_lo, r=10)",deploy,Russia_W,0,-4.580918147142204,-4.580918147142204,-4.580924777670631,-4.018609282298027,-4.580918147142204,28,18,0.8888888888888888,1,-4.580918147142204,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 edaphic_k2 − stefan (직접 catboost_lo, r=10)",deploy,Russia_C,0,-3.6161900294476745,-3.6161900294476745,-3.616190094036348,1.1439526778616056,-3.6161900294476745,7,6,0.3333333333333333,1,-3.6161900294476745,,exploratory,augment_direct
X-pseudo,"deploy: 유사라벨 edaphic_k2 − stefan (직접 catboost_lo, r=10)",deploy,Russia_E,0,-2.0376262381310446,-2.0376262381310446,-2.0376291254169274,5.5743862053269995,-2.0376262381310446,27,19,0.21052631578947367,1,-2.0376262381310446,,exploratory,augment_direct
