Event,macro,lat,lon,n_years,year_min,year_max,alt_mean,alt_sd,alt_min,alt_max,alt_sd_detr,se_multiyear,cv
CALM_R5a,Russia_W,70.2755,68.8916,16,2007,2022,72.0,8.733078876700167,47.0,87.0,8.522042600458734,2.183269719175042,0.12129276217639122
CALM_R5b,Russia_W,70.2955,68.8835,16,2007,2022,75.9375,7.028216938408581,65.0,91.0,6.499329312521778,1.7570542346021452,0.09255265104077143
CALM_R5c,Russia_W,70.3014,68.8413,16,2007,2022,118.5,13.918812209859476,82.0,144.0,12.383711177228218,3.479703052464869,0.11745833088489009
CALM_R5d,Russia_W,70.2742,68.8908,9,2014,2022,46.666666666666664,5.522680508593631,39.0,54.0,5.480484858633815,1.8408935028645435,0.1183431537555778
CALM_R6,Russia_C,72.3833,99.5,2,1994,1995,46.0,5.656854249492381,42.0,50.0,,4.0,0.12297509238026914
CALM_R60,Russia_W,66.5699,66.8809,3,2021,2023,79.66666666666667,5.507570547286104,74.0,85.0,6.531972647421808,3.1797973380564866,0.06913268469396783
CALM_R61,Russia_W,66.05,76.6449,4,2020,2023,163.25,22.881943390659224,132.0,186.0,27.646880475019003,11.440971695329612,0.14016504374063843
CALM_R7,Russia_C,74.5333,98.6,3,1994,1996,37.333333333333336,4.163331998932266,34.0,42.0,5.715476066494083,2.4037008503093267,0.1115178213999714
CALM_R8,Russia_C,71.5833,128.7833,4,1997,2000,42.25,3.3040379335998358,40.0,47.0,1.7748239349295774,1.6520189667999179,0.07820208126863516
CALM_R9,Russia_E,64.7833,176.9667,31,1994,2024,50.83870967741935,5.983849230462213,38.0,60.0,5.091984802852475,1.0747310483198504,0.11770261811188364
CALM_S1,Svalbard,78.05,13.6167,18,1990,2011,95.27777777777777,8.736707924583326,74.0,113.0,8.92242305806121,2.0592618062397063,0.09169722603061217
CALM_S2,Scandinavia,68.3,18.8333,34,1990,2023,74.58823529411765,14.24273902636925,51.0,98.0,6.634634338354066,2.44260959157632,0.19095154846078646
